locid,deployid,speno,projectid,species,deploydate,tagtype,age,sex,datadatetime,datahour,quality,latitude,longitude,error_radius,error_semi_major_axis,error_semi_minor_axis,error_ellipse_orientation
74130,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-03T22:56:25Z,2005-10-03 22,A,66.42199707,-166.96600342,NA,NA,NA,NA
74131,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-03T23:01:48Z,2005-10-03 23,A,66.43099976,-166.98899841,NA,NA,NA,NA
74132,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-03T23:11:36Z,2005-10-03 23,B,66.3710022,-166.41299438,NA,NA,NA,NA
74133,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-03T23:38:16Z,2005-10-03 23,0,66.41799927,-167.04200745,NA,NA,NA,NA
74134,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T00:06:00Z,2005-10-04 00,1,66.41100311,-167.07600403,NA,NA,NA,NA
74135,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T00:43:25Z,2005-10-04 00,B,66.41200256,-167.1269989,NA,NA,NA,NA
74136,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T00:44:46Z,2005-10-04 00,A,66.39600372,-167.09500122,NA,NA,NA,NA
74137,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T01:18:35Z,2005-10-04 01,3,66.3789978,-167.15100098,NA,NA,NA,NA
74138,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T02:17:21Z,2005-10-04 02,1,66.35900116,-167.21200562,NA,NA,NA,NA
74139,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T02:25:03Z,2005-10-04 02,2,66.35700226,-167.21000671,NA,NA,NA,NA
74140,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T03:01:49Z,2005-10-04 03,B,66.35399628,-167.28999329,NA,NA,NA,NA
74141,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T03:01:49Z,2005-10-04 03,B,66.35500336,-167.28500366,NA,NA,NA,NA
74142,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T03:31:48Z,2005-10-04 03,B,66.33000183,-167.27799988,NA,NA,NA,NA
74143,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T03:55:44Z,2005-10-04 03,A,66.30599976,-167.43099976,NA,NA,NA,NA
74144,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T04:03:04Z,2005-10-04 04,0,66.32099915,-167.31599426,NA,NA,NA,NA
74145,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T04:49:49Z,2005-10-04 04,B,66.30899811,-167.34500122,NA,NA,NA,NA
74146,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T05:38:06Z,2005-10-04 05,A,66.31700134,-167.31900024,NA,NA,NA,NA
74147,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T05:39:06Z,2005-10-04 05,1,66.31500244,-167.32499695,1500,NA,NA,NA
74148,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T05:40:09Z,2005-10-04 05,A,66.30000305,-167.33700562,NA,NA,NA,NA
74149,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T05:42:45Z,2005-10-04 05,2,66.30799866,-167.33599854,500,NA,NA,NA
74150,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T07:23:09Z,2005-10-04 07,A,66.25900269,-167.40100098,NA,NA,NA,NA
74151,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T09:00:14Z,2005-10-04 09,A,66.19999695,-167.51199341,NA,NA,NA,NA
74152,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T09:01:30Z,2005-10-04 09,3,66.19999695,-167.51300049,NA,NA,NA,NA
74153,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T10:41:35Z,2005-10-04 10,A,66.15599823,-167.6000061,NA,NA,NA,NA
74154,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T15:06:10Z,2005-10-04 15,B,66.13999939,-167.66299438,NA,NA,NA,NA
74155,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T15:06:10Z,2005-10-04 15,B,66.11599731,-167.65400696,NA,NA,NA,NA
74156,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T15:35:57Z,2005-10-04 15,2,66.1230011,-167.66900635,NA,NA,NA,NA
74157,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T15:56:00Z,2005-10-04 15,2,66.11799622,-167.69700623,NA,NA,NA,NA
74158,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T16:46:37Z,2005-10-04 16,3,66.11599731,-167.79100037,NA,NA,NA,NA
74159,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T17:17:35Z,2005-10-04 17,3,66.11100006,-167.82800293,NA,NA,NA,NA
74160,PL2005_5966_05L0002,PL2005_5966,KotzEB,Spotted seal,2005-09-25T10:45:00Z,SPLASH,PUP,F,2005-10-04T17:37:27Z,2005-10-04 17,2,66.10500336,-167.84599304,NA,NA,NA,NA
